"Imm","r","vac","nWeek","risk_low","risk_med","risk_up","prot_low","prot_med","prot_up","erad_low","erad_med","erad_up","weeknotsafe_low","weeknotsafe_med","weeknotsafe_up"
0,0,0,1,0,0.270588235294118,0.5625,0,0.0769230769230769,0.183400402414487,0,0.131147540983607,0.27027027027027,0.936170212765957,0.978723404255319,1
0,0,0,2,0.195854646206309,0.44578313253012,0.666666666666667,0.0350677339901478,0.405405405405405,0.709398826979472,0.0180068226120858,0.266666666666667,0.391202109341369,0.978723404255319,1,1
0,0,0,3,0.0280267295597484,0.141592920353982,0.341463414634146,0.142857142857143,0.841687552213868,0.938775510204082,0.05125,0.210526315789474,0.341989642499164,0.957446808510638,0.978723404255319,1
0,0,0,4,0,0.0631104788999526,0.221446078431372,0.360227272727273,0.931818181818182,0.984501201923077,0.0274870099196977,0.106060606060606,0.257278742762613,0.914893617021277,0.978723404255319,1
0,0,0.1,1,0,0.275,0.561106271777003,0.025,0.111111111111111,0.211144850755912,0,0.135135135135135,0.274359582542694,0.936170212765957,0.978723404255319,1
0,0,0.1,2,0.172211538461538,0.41304347826087,0.627118644067797,0.169811320754717,0.473684210526316,0.716772088353414,0.0169491525423729,0.255813953488372,0.380306773266259,0.978723404255319,1,1
0,0,0.1,3,0.0224595551061679,0.125,0.276595744680851,0.352941176470588,0.857142857142857,0.943294382504288,0.0289705882352941,0.188811188811189,0.302840909090909,0.914893617021277,0.978723404255319,1
0,0,0.1,4,0,0.0555555555555556,0.166666666666667,0.423076923076923,0.938775510204082,0.985074626865672,0,0.0952380952380952,0.212765957446809,0.893617021276596,0.957446808510638,1
0,0,0.2,1,0,0.263157894736842,0.559858208955224,0.0555555555555556,0.142857142857143,0.246376811594203,0,0.131147540983607,0.277132392293283,0.936170212765957,0.978723404255319,1
0,0,0.2,2,0.163192389006343,0.380281690140845,0.597316919191919,0.257348484848485,0.533333333333333,0.7375,0.0186844863731656,0.244897959183673,0.367231638418079,0.978723404255319,1,1
0,0,0.2,3,0,0.108433734939759,0.222222222222222,0.512492182614134,0.875,0.948717948717949,0.025,0.172413793103448,0.271675389157273,0.936170212765957,0.978723404255319,1
0,0,0.2,4,0,0.05,0.136690535491905,0.555555555555556,0.942307692307692,0.988307113543092,0,0.0851063829787234,0.173913043478261,0.893617021276596,0.957446808510638,1
0,0,0.3,1,0,0.271186440677966,0.548906025824964,0.0833333333333333,0.169642857142857,0.276247248716067,0,0.131147540983607,0.273177530017152,0.936170212765957,0.978723404255319,1
0,0,0.3,2,0.147576252723312,0.358208955223881,0.580304783950617,0.313991596638656,0.58,0.760358974358974,0.0144839184359891,0.232758620689655,0.359135575003838,0.978723404255319,1,1
0,0,0.3,3,0,0.0967741935483871,0.183673469387755,0.625,0.886363636363636,0.956767180925666,0,0.159420289855072,0.250917832167832,0.893617021276596,0.978723404255319,1
0,0,0.3,4,0,0.043956043956044,0.11279532030895,0.688523706896552,0.949152542372881,0.991740705303444,0,0.0769230769230769,0.151960269865067,0.872340425531915,0.936170212765957,1
0,0,0.4,1,0,0.264150943396226,0.553033980582524,0.102564102564103,0.2,0.314285714285714,0,0.132352941176471,0.270491803278689,0.936170212765957,0.978723404255319,1
0,0,0.4,2,0.12,0.33620881981111,0.562166432584269,0.368421052631579,0.619047619047619,0.777777777777778,0.01378900304414,0.220338983050847,0.349358392474006,0.978723404255319,1,1
0,0,0.4,3,0,0.0871290545203589,0.164062882309763,0.72,0.89763779527559,0.962962962962963,0.0132736013986014,0.146067415730337,0.230769230769231,0.914893617021277,0.957446808510638,1
0,0,0.4,4,0,0.0392156862745098,0.0952380952380952,0.770274725274725,0.953488372093023,1,0,0.0697674418604651,0.135703075957313,0.829787234042553,0.914893617021277,0.978723404255319
0,0,0.5,1,0,0.257500750075008,0.544291089108911,0.129316009557945,0.225648323845667,0.354305116033755,0,0.129935064935065,0.272079746835443,0.936170212765957,0.978723404255319,1
0,0,0.5,2,0.118120638085743,0.319444444444444,0.538915298184961,0.412509803921569,0.649484536082474,0.808510638297872,0,0.213175024108004,0.343854498407643,0.978723404255319,1,1
0,0,0.5,3,0,0.0784313725490196,0.151058578323826,0.78403550609433,0.907894736842105,0.971014492753623,0,0.135802469135802,0.218579382183908,0.872340425531915,0.957446808510638,1
0,0,0.5,4,0,0.0357142857142857,0.0869565217391304,0.824227941176471,0.956521739130435,1,0,0.0625,0.125,0.787234042553192,0.893617021276596,0.957446808510638
0,0,0.6,1,0,0.260869565217391,0.536043298969072,0.157894736842105,0.252252252252252,0.388007202881152,0,0.131578947368421,0.273306600621142,0.936170212765957,0.978723404255319,1
0,0,0.6,2,0.103448275862069,0.30379746835443,0.523809523809524,0.443781565656566,0.675324675324675,0.837209302325581,0,0.203703703703704,0.333333333333333,0.978723404255319,1,1
0,0,0.6,3,0,0.0694444444444444,0.140740536971831,0.835622520309843,0.918032786885246,0.98,0,0.126088273147097,0.211538461538462,0.851063829787234,0.936170212765957,1
0,0,0.6,4,0,0.0326086956521739,0.0833333333333333,0.868421052631579,0.96039603960396,1,0,0.0579710144927536,0.116883116883117,0.74468085106383,0.861702127659574,0.936170212765957
0,0,0.7,1,0.0150396825396826,0.25,0.545946579194001,0.171875,0.276595744680851,0.422222222222222,0,0.130434782608696,0.276498488481184,0.936170212765957,0.978723404255319,1
0,0,0.7,2,0.0869565217391304,0.291139240506329,0.517181372549019,0.465909090909091,0.695652173913043,0.870484749455338,0,0.198347107438017,0.326010466988728,0.978723404255319,1,1
